unique_id,ds,y
0,05/24/2011,486
0,05/25/2011,522
0,05/26/2011,596
0,05/27/2011,566
0,05/28/2011,510
0,05/29/2011,441
0,05/30/2011,492
0,05/31/2011,464
0,06/01/2011,506
0,06/02/2011,536
0,06/03/2011,502
0,06/04/2011,426
0,06/05/2011,451
0,06/06/2011,451
0,06/07/2011,405
0,06/08/2011,470
0,06/09/2011,534
0,06/10/2011,461
0,06/11/2011,456
0,06/12/2011,426
0,06/13/2011,449
0,06/14/2011,404
0,06/15/2011,456
0,06/16/2011,494
0,06/17/2011,488
0,06/18/2011,394
0,06/19/2011,433
0,06/20/2011,407
0,06/21/2011,436
0,06/22/2011,458
0,06/23/2011,507
0,06/24/2011,496
0,06/25/2011,410
0,06/26/2011,421
0,06/27/2011,473
0,06/28/2011,425
0,06/29/2011,439
0,06/30/2011,488
0,07/01/2011,461
0,07/02/2011,417
0,07/03/2011,427
0,07/04/2011,437
0,07/05/2011,423
0,07/06/2011,457
0,07/07/2011,492
0,07/08/2011,405
0,07/09/2011,442
0,07/10/2011,419
0,07/11/2011,455
0,07/12/2011,430
0,07/13/2011,429
0,07/14/2011,542
0,07/15/2011,483
0,07/16/2011,448
0,07/17/2011,428
0,07/18/2011,433
0,07/19/2011,463
0,07/20/2011,517
0,07/21/2011,482
0,07/22/2011,445
0,07/23/2011,409
0,07/24/2011,413
0,07/25/2011,373
0,07/26/2011,454
0,07/27/2011,429
0,07/28/2011,494
0,07/29/2011,460
0,07/30/2011,424
0,07/31/2011,416
0,08/01/2011,441
0,08/02/2011,423
0,08/03/2011,478
0,08/04/2011,447
0,08/05/2011,465
0,08/06/2011,411
0,08/07/2011,410
0,08/08/2011,416
0,08/09/2011,402
0,08/10/2011,483
0,08/11/2011,480
0,08/12/2011,448
0,08/13/2011,448
0,08/14/2011,394
0,08/15/2011,399
0,08/16/2011,401
0,08/17/2011,464
0,08/18/2011,507
0,08/19/2011,435
0,08/20/2011,401
0,08/21/2011,407
0,08/22/2011,390
0,08/23/2011,389
0,08/24/2011,440
0,08/25/2011,554
0,08/26/2011,440
0,08/27/2011,444
0,08/28/2011,428
0,08/29/2011,434
0,08/30/2011,438
0,08/31/2011,491
0,09/01/2011,555
0,09/02/2011,571
0,09/03/2011,447
0,09/04/2011,445
0,09/05/2011,435
0,09/06/2011,427
0,09/07/2011,489
0,09/08/2011,520
0,09/09/2011,437
0,09/10/2011,444
0,09/11/2011,403
0,09/12/2011,390
0,09/13/2011,436
0,09/14/2011,414
0,09/15/2011,482
0,09/16/2011,421
0,09/17/2011,389
0,09/18/2011,434
0,09/19/2011,405
0,09/20/2011,430
0,09/21/2011,426
0,09/22/2011,434
0,09/23/2011,414
0,09/24/2011,386
0,09/25/2011,361
0,09/26/2011,403
0,09/27/2011,418
0,09/28/2011,445
0,09/29/2011,491
0,09/30/2011,518
0,10/01/2011,447
0,10/02/2011,418
0,10/03/2011,422
0,10/04/2011,411
0,10/05/2011,423
0,10/06/2011,454
0,10/07/2011,422
0,10/08/2011,408
0,10/09/2011,402
0,10/10/2011,423
0,10/11/2011,411
0,10/12/2011,453
0,10/13/2011,465
0,10/14/2011,431
0,10/15/2011,405
0,10/16/2011,375
0,10/17/2011,403
0,10/18/2011,418
0,10/19/2011,467
0,10/20/2011,432
0,10/21/2011,394
0,10/22/2011,381
0,10/23/2011,407
0,10/24/2011,358
0,10/25/2011,399
0,10/26/2011,457
0,10/27/2011,475
0,10/28/2011,409
0,10/29/2011,435
0,10/30/2011,371
0,10/31/2011,338
0,11/01/2011,404
0,11/02/2011,438
0,11/03/2011,404
0,11/04/2011,423
0,11/05/2011,378
0,11/06/2011,367
0,11/07/2011,372
0,11/08/2011,395
0,11/09/2011,408
0,11/10/2011,408
0,11/11/2011,433
0,11/12/2011,422
0,11/13/2011,399
0,11/14/2011,338
0,11/15/2011,373
0,11/16/2011,377
0,11/17/2011,496
0,11/18/2011,440
0,11/19/2011,424
0,11/20/2011,416
0,11/21/2011,366
0,11/22/2011,383
0,11/23/2011,447
0,11/24/2011,454
0,11/25/2011,452
0,11/26/2011,381
0,11/27/2011,402
0,11/28/2011,383
0,11/29/2011,391
0,11/30/2011,393
0,12/01/2011,395
0,12/02/2011,393
0,12/03/2011,376
0,12/04/2011,398
0,12/05/2011,379
0,12/06/2011,410
0,12/07/2011,403
0,12/08/2011,456
0,12/09/2011,479
0,12/10/2011,394
0,12/11/2011,421
0,12/12/2011,382
0,12/13/2011,392
0,12/14/2011,424
0,12/15/2011,440
0,12/16/2011,430
0,12/17/2011,474
0,12/18/2011,444
0,12/19/2011,417
0,12/20/2011,437
0,12/21/2011,494
0,12/22/2011,625
0,12/23/2011,468
0,12/24/2011,481
0,12/25/2011,415
0,12/26/2011,457
0,12/27/2011,486
0,12/28/2011,537
0,12/29/2011,597
0,12/30/2011,523
0,12/31/2011,530
0,01/01/2012,514
0,01/02/2012,534
0,01/03/2012,513
0,01/04/2012,541
0,01/05/2012,610
0,01/06/2012,493
0,01/07/2012,515
0,01/08/2012,507
0,01/09/2012,515
0,01/10/2012,511
0,01/11/2012,564
0,01/12/2012,589
0,01/13/2012,742
0,01/14/2012,763
0,01/15/2012,755
0,01/16/2012,631
0,01/17/2012,561
0,01/18/2012,515
0,01/19/2012,562
0,01/20/2012,470
0,01/21/2012,475
0,01/22/2012,431
0,01/23/2012,441
0,01/24/2012,405
0,01/25/2012,482
0,01/26/2012,512
0,01/27/2012,512
0,01/28/2012,446
0,01/29/2012,367
0,01/30/2012,404
0,01/31/2012,397
0,02/01/2012,453
0,02/02/2012,458
0,02/03/2012,520
0,02/04/2012,439
0,02/05/2012,439
0,02/06/2012,430
0,02/07/2012,419
0,02/08/2012,407
0,02/09/2012,446
0,02/10/2012,414
0,02/11/2012,475
0,02/12/2012,423
0,02/13/2012,407
0,02/14/2012,406
0,02/15/2012,445
0,02/16/2012,470
0,02/17/2012,441
0,02/18/2012,446
0,02/19/2012,440
0,02/20/2012,418
0,02/21/2012,390
0,02/22/2012,441
0,02/23/2012,502
0,02/24/2012,506
0,02/25/2012,435
0,02/26/2012,406
0,02/27/2012,414
0,02/28/2012,401
0,02/29/2012,414
0,03/01/2012,439
0,03/02/2012,420
0,03/03/2012,385
0,03/04/2012,395
0,03/05/2012,359
0,03/06/2012,438
0,03/07/2012,428
0,03/08/2012,501
0,03/09/2012,431
0,03/10/2012,439
0,03/11/2012,424
0,03/12/2012,399
0,03/13/2012,416
0,03/14/2012,391
0,03/15/2012,467
0,03/16/2012,417
0,03/17/2012,427
0,03/18/2012,419
0,03/19/2012,434
0,03/20/2012,456
0,03/21/2012,402
0,03/22/2012,493
0,03/23/2012,480
0,03/24/2012,460
0,03/25/2012,467
0,03/26/2012,427
0,03/27/2012,460
0,03/28/2012,434
0,03/29/2012,458
0,03/30/2012,424
0,03/31/2012,425
0,04/01/2012,438
0,04/02/2012,415
0,04/03/2012,407
0,04/04/2012,447
0,04/05/2012,506
0,04/06/2012,438
0,04/07/2012,388
0,04/08/2012,427
0,04/09/2012,438
0,04/10/2012,403
0,04/11/2012,443
0,04/12/2012,466
0,04/13/2012,478
0,04/14/2012,426
0,04/15/2012,465
0,04/16/2012,392
0,04/17/2012,426
0,04/18/2012,422
0,04/19/2012,482
0,04/20/2012,435
0,04/21/2012,426
0,04/22/2012,438
0,04/23/2012,383
0,04/24/2012,416
0,04/25/2012,443
0,04/26/2012,474
0,04/27/2012,454
0,04/28/2012,455
0,04/29/2012,420
0,04/30/2012,403
0,05/01/2012,405
0,05/02/2012,500
0,05/03/2012,495
0,05/04/2012,474
0,05/05/2012,458
0,05/06/2012,449
0,05/07/2012,394
0,05/08/2012,456
0,05/09/2012,423
0,05/10/2012,483
0,05/11/2012,443
0,05/12/2012,437
0,05/13/2012,471
0,05/14/2012,465
0,05/15/2012,393
0,05/16/2012,496
0,05/17/2012,495
0,05/18/2012,433
0,05/19/2012,475
0,05/20/2012,447
0,05/21/2012,439
0,05/22/2012,407
0,05/23/2012,488
0,05/24/2012,488
0,05/25/2012,468
0,05/26/2012,403
0,05/27/2012,443
0,05/28/2012,457
0,05/29/2012,451
0,05/30/2012,484
0,05/31/2012,467
0,06/01/2012,513
0,06/02/2012,420
0,06/03/2012,420
0,06/04/2012,445
0,06/05/2012,423
0,06/06/2012,445
0,06/07/2012,481
0,06/08/2012,458
0,06/09/2012,472
0,06/10/2012,387
0,06/11/2012,433
0,06/12/2012,475
0,06/13/2012,524
0,06/14/2012,547
0,06/15/2012,492
0,06/16/2012,500
0,06/17/2012,453
0,06/18/2012,438
0,06/19/2012,491
0,06/20/2012,509
0,06/21/2012,556
0,06/22/2012,484
0,06/23/2012,452
0,06/24/2012,483
0,06/25/2012,430
0,06/26/2012,445
0,06/27/2012,476
0,06/28/2012,569
0,06/29/2012,531
0,06/30/2012,438
0,07/01/2012,475
0,07/02/2012,421
0,07/03/2012,447
0,07/04/2012,533
0,07/05/2012,532
0,07/06/2012,451
0,07/07/2012,442
0,07/08/2012,471
0,07/09/2012,452
0,07/10/2012,481
0,07/11/2012,464
0,07/12/2012,511
0,07/13/2012,502
0,07/14/2012,432
0,07/15/2012,459
0,07/16/2012,460
0,07/17/2012,458
0,07/18/2012,469
0,07/19/2012,493
0,07/20/2012,440
0,07/21/2012,428
0,07/22/2012,391
0,07/23/2012,379
0,07/24/2012,405
0,07/25/2012,380
0,07/26/2012,473
0,07/27/2012,491
0,07/28/2012,419
0,07/29/2012,362
0,07/30/2012,422
0,07/31/2012,437
0,08/01/2012,410
0,08/02/2012,506
0,08/03/2012,453
0,08/04/2012,449
0,08/05/2012,410
0,08/06/2012,430
0,08/07/2012,468
0,08/08/2012,410
0,08/09/2012,482
0,08/10/2012,443
0,08/11/2012,393
0,08/12/2012,412
0,08/13/2012,396
0,08/14/2012,395
0,08/15/2012,444
0,08/16/2012,513
0,08/17/2012,430
0,08/18/2012,381
0,08/19/2012,394
0,08/20/2012,453
0,08/21/2012,374
0,08/22/2012,445
0,08/23/2012,472
0,08/24/2012,419
0,08/25/2012,442
0,08/26/2012,408
0,08/27/2012,403
0,08/28/2012,435
0,08/29/2012,462
0,08/30/2012,459
0,08/31/2012,491
0,09/01/2012,370
0,09/02/2012,407
0,09/03/2012,442
0,09/04/2012,436
0,09/05/2012,438
0,09/06/2012,473
0,09/07/2012,449
0,09/08/2012,361
0,09/09/2012,416
0,09/10/2012,421
0,09/11/2012,450
0,09/12/2012,449
0,09/13/2012,502
0,09/14/2012,425
0,09/15/2012,395
0,09/16/2012,409
0,09/17/2012,417
0,09/18/2012,447
0,09/19/2012,407
0,09/20/2012,531
0,09/21/2012,412
0,09/22/2012,347
0,09/23/2012,432
0,09/24/2012,402
0,09/25/2012,446
0,09/26/2012,443
0,09/27/2012,478
0,09/28/2012,452
0,09/29/2012,468
0,09/30/2012,492
0,10/01/2012,453
0,10/02/2012,430
0,10/03/2012,445
0,10/04/2012,475
0,10/05/2012,462
0,10/06/2012,424
0,10/07/2012,454
0,10/08/2012,364
0,10/09/2012,456
0,10/10/2012,446
0,10/11/2012,455
0,10/12/2012,461
0,10/13/2012,441
0,10/14/2012,441
0,10/15/2012,432
0,10/16/2012,446
0,10/17/2012,448
0,10/18/2012,496
0,10/19/2012,496
0,10/20/2012,450
0,10/21/2012,396
0,10/22/2012,378
0,10/23/2012,386
0,10/24/2012,389
0,10/25/2012,464
0,10/26/2012,428
0,10/27/2012,410
0,10/28/2012,394
0,10/29/2012,424
0,10/30/2012,454
0,10/31/2012,440
0,11/01/2012,430
0,11/02/2012,460
0,11/03/2012,418
0,11/04/2012,432
0,11/05/2012,411
0,11/06/2012,425
0,11/07/2012,429
0,11/08/2012,406
0,11/09/2012,442
0,11/10/2012,407
0,11/11/2012,411
0,11/12/2012,359
0,11/13/2012,412
0,11/14/2012,396
0,11/15/2012,433
0,11/16/2012,416
0,11/17/2012,384
0,11/18/2012,380
0,11/19/2012,378
0,11/20/2012,387
0,11/21/2012,408
0,11/22/2012,439
0,11/23/2012,393
0,11/24/2012,390
0,11/25/2012,384
0,11/26/2012,380
0,11/27/2012,405
0,11/28/2012,431
0,11/29/2012,411
0,11/30/2012,467
0,12/01/2012,381
0,12/02/2012,351
0,12/03/2012,402
0,12/04/2012,427
0,12/05/2012,487
0,12/06/2012,496
0,12/07/2012,467
0,12/08/2012,417
0,12/09/2012,399
0,12/10/2012,440
0,12/11/2012,452
0,12/12/2012,453
0,12/13/2012,435
0,12/14/2012,380
0,12/15/2012,430
0,12/16/2012,432
0,12/17/2012,402
0,12/18/2012,415
0,12/19/2012,478
0,12/20/2012,434
0,12/21/2012,430
0,12/22/2012,419
0,12/23/2012,391
0,12/24/2012,413
0,12/25/2012,411
0,12/26/2012,434
0,12/27/2012,445
0,12/28/2012,461
0,12/29/2012,406
0,12/30/2012,371
0,12/31/2012,421
0,01/01/2013,437
0,01/02/2013,456
0,01/03/2013,437
0,01/04/2013,454
0,01/05/2013,399
0,01/06/2013,375
0,01/07/2013,354
0,01/08/2013,395
0,01/09/2013,407
0,01/10/2013,450
0,01/11/2013,425
0,01/12/2013,441
0,01/13/2013,401
0,01/14/2013,406
0,01/15/2013,440
0,01/16/2013,467
0,01/17/2013,483
0,01/18/2013,454
0,01/19/2013,420
0,01/20/2013,394
0,01/21/2013,391
0,01/22/2013,426
0,01/23/2013,450
0,01/24/2013,510
0,01/25/2013,456
0,01/26/2013,443
0,01/27/2013,417
0,01/28/2013,440
0,01/29/2013,463
0,01/30/2013,469
0,01/31/2013,634
0,02/01/2013,731
0,02/02/2013,681
0,02/03/2013,587
0,02/04/2013,529
0,02/05/2013,406
0,02/06/2013,491
0,02/07/2013,531
0,02/08/2013,429
0,02/09/2013,476
0,02/10/2013,415
0,02/11/2013,424
0,02/12/2013,399
0,02/13/2013,440
0,02/14/2013,464
0,02/15/2013,436
0,02/16/2013,461
0,02/17/2013,440
0,02/18/2013,400
0,02/19/2013,473
0,02/20/2013,428
0,02/21/2013,432
0,02/22/2013,464
0,02/23/2013,423
0,02/24/2013,377
0,02/25/2013,406
0,02/26/2013,415
0,02/27/2013,477
0,02/28/2013,492
0,03/01/2013,428
0,03/02/2013,418
0,03/03/2013,411
0,03/04/2013,348
0,03/05/2013,437
0,03/06/2013,477
0,03/07/2013,465
0,03/08/2013,461
0,03/09/2013,472
0,03/10/2013,444
0,03/11/2013,434
0,03/12/2013,463
0,03/13/2013,418
0,03/14/2013,496
0,03/15/2013,379
0,03/16/2013,422
0,03/17/2013,383
0,03/18/2013,394
0,03/19/2013,425
0,03/20/2013,448
0,03/21/2013,463
0,03/22/2013,401
0,03/23/2013,384
0,03/24/2013,439
0,03/25/2013,452
0,03/26/2013,385
0,03/27/2013,404
0,03/28/2013,465
0,03/29/2013,442
